market,event_type,timestamp,signature,slot,sequence_number,event_index,maker,taker,price,side,quantity
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434788,2pxB4UwAde9NGJoBeai4qyfFvmTbN6W4JpqJD7uCLpUonhHZXFuvzDZuH9NFKfSsBKhU422RQi1UBCSCYRKFSbjo,183115181,1138585,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434781,3WzBDQcWJ3DUQWpCBNtYJnaAKWjZ5z7DGcb91pkx2nB8YWbrNywfxJZXYykJPCkEaLuCrxFvKQus1AhnRvYeTgjG,183115165,1138584,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434769,mWjWku7UvUgVCu2hDNy5A7abvN2btAmmiB64Ldr6289VZkKCSyA8E5JDBU72FgTtjhrj9Eq7BMfGUtRU8P2asbF,183115133,1138561,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.25,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434758,JYskaNi8RpwaSziC59AnQ4udGJoRot86M3YL6BpQjwejsRfC4NstccGapKz8fAWpV7NbqKUAXfotmaVyGNKyiGa,183115104,1138544,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.25,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434752,3WbdY8dRESbD33zujuDX8EiV37iR5N8sB9h8Ay7LFKNzX3MwhtWvtVqNJYEaPETYTNbSEa5huX1gn5rXRpYq26v5,183115088,1138527,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434720,3ny8ZDvGjudfcCdveeoNUh5P3BpUwzmgUJr3ffqhFGM2cfgsUTKC9g52BL7J4nwzGjr5DyoCUsfTU93VH4fWwR53,183115008,1138478,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434707,4ggrMkXSQjHbMQVikjQYW9BGVY8J2bHJd9nwt2uybY2LRS26Rqjt5FjbEaGrmNUVxRxNjGew7HEECMczkEvDtK9V,183114975,1138461,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434701,4JksUUi67atoCop43vxFRHu7JzwskrmeKwpoknae2bu4EnKrsfE5XE44W7Re9Thr9YAwMGuCokFo6RSkp2Xv5zet,183114959,1138444,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434696,26YGVFNtV7GEppkSeEvEvrRnqfjDY9uxhhNPCQwcGuuqBMpJV1cyizVzLveZZ8v1KFPxZyuS9NzvsXpReVg2XJY5,183114944,1138443,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434690,5F2JpDTmw99XzjxM49epbFX2HYRXjT3Yau9N1FefFxModpR1EnjwiKXL3rASuMvqyvwnBwW4K8fU285uyacpGM4W,183114929,1138426,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Bid,1.0
